id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
733,DRIVEN BUILDS LLC,STEVEN KAY LIVING TRUST,247 S BENTON WAY,2024-12-04,560000,400000
734,2817 BARRINGTON HOLDING LLC,HL3 SIERRA LLC,2817 S BARRINGTON AVE,2024-12-04,1250000,1438200
735,FRANK PITTELLI LLC,EIGHTY TWENTY LABS LLC,4893 HARTWICK ST,2024-12-04,1048000,550000
736,BYE BYE HOUSE INC,CENTER STREET LNDG VIII SPE LL,11408 WATERFORD ST,2024-12-03,1900000,1979639
737,PAN PARTNERSHIP INC,VELOCITY COMMERCIAL CAP LLC,816 E 25TH ST,2024-12-03,635000,997500
738,BYE BYE HOUSE INC,CENTER STREET LNDG VIII SPE LL,10600 HOLMAN AVE APT 9,2024-12-03,965000,1002206
739,FVR GROUP TWENTY LLC,ANCHOR LOANS LP,1927 HYPERION AVE,2024-12-03,900000,1223000
740,PROVIDENT INVESTMENTS LLC,ELEVEN ZEN LLC,759 E 105TH ST,2024-12-03,560000,440000
741,ALEXED ENTERPRISES LLC,JA & B PROPERTIES LLC,1532 W 22ND ST,2024-12-02,730000,330000
742,TGM VENTURE PARTNERS LP,KIAVI FUNDING INC,3700 W 61ST ST,2024-12-02,878000,954100
743,SYNDICATE HOLDINGS,WOO LIVING TRUST,1822 LINDA ROSA AVE,2024-12-02,850000,850000
744,CLA STARSHIP 42ND LLC,MIDFIRST BANK,872 W 42ND PL,2024-11-27,830000,621445
745,L & A FINANCIAL GROUP LLC,VONTIVE INC,3439 6TH AVE,2024-11-27,730000,742500
746,T & D INVESTMENTS LLC,ANGEL OAK MTG SOLUTIONS LLC,1436 S SPAULDING AVE,2024-11-27,1525000,1162500
747,2907 RIDGELEY LLC,GROUNDFLOOR CREDIT 1 LLC,2907 S RIDGELEY DR,2024-11-27,685000,626499
748,RADIANT SUNSHINE INVESTMENT GROUP LLC,ARV FINANCE INC,6325 LONG ST,2024-11-27,755000,819995
749,ASSEMBLE CAPITAL MANAGER LLC,SPREO CAPITAL MANAGER LLC,8404 GONZAGA AVE,2024-11-27,1000000,1958187
750,WARING BY PREMISE LLC,CHURCHILL FUNDING I LLC,8164 WARING AVE,2024-11-27,1525000,2194310
751,SENSOR ONE ELECTRONIC SECURITY INC,ANCHOR LOANS LP,5242 WINDERMERE AVE,2024-11-27,800000,570000
752,GI PROPERTY 95 LLC,INFINITY BANK,215 N RAMPART BLVD,2024-11-26,935000,561000
753,LA LA PROPERTIES LLC,JPMORGAN CHASE BANK NA,2016 N VISTA DEL MAR AVE,2024-11-26,3600000,1200000
754,OCEAN DEVELOPMENT INC,BALDO FAMILY TRUST,1240 W 41ST PL,2024-11-25,612000,578000
755,SLJK1 LLC,CONVENTUS LLC,2810 SOMERSET DR,2024-11-25,1175000,1422905
756,G & F PROPERTY INVESTMENTS INC,NCL EAGLEPOINT INVESTMENTS LLC,410 S FORD BLVD,2024-11-25,500000,250000
757,UNEEQ SOLUTIONS INC,ARIXA CAPITAL ADVISORS LLC,6104 YORK BLVD,2024-11-25,1650000,1520000
758,NO MORE MISTER NICE GUY LLC,JPMORGAN CHASE BANK NA,3389 CHARLESTON WAY,2024-11-25,1430000,1144000
759,TGM VENTURE PARTNERS LP,KIAVI FUNDING INC,1530 W 51ST PL,2024-11-22,530000,585500
760,KJT PROPERTIES LLC,PROVIDENT TRUST GROUP LLC,1209 W 51ST PL,2024-11-22,2391136,465000
761,1149 W 37 LLC,KOHANOFF SIAMAK,1149 W 37TH DR,2024-11-22,1400000,980000
762,FP8801 LLC,LIU BINGZHE,150 S MOUNTAIN VIEW AVE,2024-11-22,950000,700000
763,CONCEPT DESIGN & BUILDINGS LLC,RK DEVELOPMENT LLC,452 S BONNIE BRAE ST,2024-11-22,2004000,1095799
764,EWA CAPITAL LLC,ANCHOR LOANS LP,4312 W 58TH PL,2024-11-22,880000,937460
765,MONTANO SOLUTIONS INC,KIAVI FUNDING INC,6010 S VERDUN AVE,2024-11-22,900000,899900
